customer_id,last_purchase_date,days_since_last,churned
GM00001,2024-03-26,97,0
GM00002,2023-11-20,224,1
GM00003,2024-01-03,180,0
GM00004,2024-01-30,153,0
GM00005,2024-03-30,93,0
GM00006,2023-02-20,497,1
GM00007,2024-05-30,32,0
GM00008,2023-09-06,299,1
GM00009,2024-04-11,81,0
GM00010,2024-05-31,31,0
GM00011,2024-01-25,158,0
GM00012,2024-05-08,54,0
GM00013,2024-06-08,23,0
GM00014,2024-03-11,112,0
GM00015,2024-04-15,77,0
GM00016,2024-04-16,76,0
GM00017,2024-06-06,25,0
GM00018,2024-05-26,36,0
GM00019,2024-06-18,13,0
GM00020,2023-03-30,459,1
GM00021,2023-12-21,193,1
GM00022,2024-04-01,91,0
GM00023,2024-01-16,167,0
GM00024,2024-06-16,15,0
GM00025,2024-06-16,15,0
GM00026,2024-05-22,40,0
GM00027,2024-06-03,28,0
GM00028,2023-06-28,369,1
GM00029,2024-05-28,34,0
GM00030,2024-04-29,63,0
GM00031,2024-04-08,84,0
GM00032,2023-01-14,534,1
GM00033,2024-04-29,63,0
GM00034,2024-01-03,180,0
GM00035,2024-01-09,174,0
GM00036,2024-05-27,35,0
GM00037,2024-02-08,144,0
GM00038,2024-06-08,23,0
GM00039,2023-02-18,499,1
GM00040,2024-04-18,74,0
GM00041,2024-06-12,19,0
GM00042,2024-05-24,38,0
GM00043,2022-10-22,618,1
GM00044,2024-04-28,64,0
GM00045,2024-05-30,32,0
GM00046,2023-11-28,216,1
GM00047,2024-05-03,59,0
GM00048,2024-01-13,170,0
GM00049,2024-02-08,144,0
GM00050,2024-06-09,22,0
GM00051,2022-07-30,702,1
GM00052,2024-02-16,136,0
GM00053,2024-06-17,14,0
GM00054,2024-05-26,36,0
GM00055,2024-06-14,17,0
GM00056,2024-02-12,140,0
GM00057,2024-06-11,20,0
GM00058,2024-06-15,16,0
GM00059,2023-12-13,201,1
GM00060,2023-09-17,288,1
GM00061,2024-05-11,51,0
GM00062,2024-04-27,65,0
GM00063,2023-08-14,322,1
GM00064,2023-11-15,229,1
GM00065,2023-01-10,538,1
GM00066,2024-05-27,35,0
GM00067,2024-06-01,30,0
GM00068,2023-05-28,400,1
GM00069,2024-03-29,94,0
GM00070,2022-04-11,812,1
GM00071,2023-11-07,237,1
GM00072,2024-04-29,63,0
GM00073,2024-05-26,36,0
GM00074,2024-06-10,21,0
GM00075,2024-05-28,34,0
GM00076,2023-12-25,189,1
GM00077,2024-06-01,30,0
GM00078,2024-04-21,71,0
GM00079,2024-06-02,29,0
GM00080,2024-06-11,20,0
GM00081,2023-12-20,194,1
GM00082,2024-06-05,26,0
GM00083,2024-03-11,112,0
GM00084,2023-12-06,208,1
GM00085,2023-09-20,285,1
GM00086,2024-03-08,115,0
GM00087,2024-03-02,121,0
GM00088,2022-04-05,818,1
GM00089,2024-03-23,100,0
GM00090,2024-01-23,160,0
GM00091,2024-06-13,18,0
GM00092,2023-07-04,363,1
GM00093,2024-06-18,13,0
GM00094,2024-05-20,42,0
GM00095,2024-04-25,67,0
GM00096,2024-01-25,158,0
GM00097,2023-12-08,206,1
GM00098,2023-12-11,203,1
GM00099,2024-06-05,26,0
GM00100,2024-02-26,126,0
GM00101,2024-03-18,105,0
GM00102,2023-10-15,260,1
GM00103,2024-06-14,17,0
GM00104,2024-05-29,33,0
GM00105,2024-06-15,16,0
GM00106,2024-06-07,24,0
