Month,region,channel,category,Revenue,Orders,Avg_Order
2022-01,Central Asia,Call Center,Beauty,5330.36,3,1776.7866666666666
2022-01,Central Asia,Call Center,Electronics,2178.0299999999997,3,726.0099999999999
2022-01,Central Asia,Call Center,Fashion,1862.87,2,931.435
2022-01,Central Asia,Call Center,Food & Grocery,3892.97,5,778.5939999999999
2022-01,Central Asia,Call Center,Home & Garden,3576.67,3,1192.2233333333334
2022-01,Central Asia,Call Center,Sports,2571.1499999999996,2,1285.5749999999998
2022-01,Central Asia,In-Store,Beauty,2758.69,6,459.7816666666667
2022-01,Central Asia,In-Store,Electronics,6916.549999999999,14,494.03928571428565
2022-01,Central Asia,In-Store,Fashion,16094.039999999999,18,894.1133333333332
2022-01,Central Asia,In-Store,Food & Grocery,9334.33,10,933.433
2022-01,Central Asia,In-Store,Home & Garden,3979.9,8,497.4875
2022-01,Central Asia,In-Store,Sports,8851.289999999999,11,804.6627272727272
2022-01,Central Asia,Mobile App,Beauty,9273.789999999999,12,772.8158333333332
2022-01,Central Asia,Mobile App,Electronics,15816.65,18,878.7027777777778
2022-01,Central Asia,Mobile App,Fashion,16887.82,9,1876.4244444444444
2022-01,Central Asia,Mobile App,Food & Grocery,9006.85,11,818.8045454545455
2022-01,Central Asia,Mobile App,Home & Garden,5692.01,8,711.50125
2022-01,Central Asia,Mobile App,Sports,10301.24,12,858.4366666666666
2022-01,Central Asia,Online,Beauty,12064.199999999999,18,670.2333333333332
2022-01,Central Asia,Online,Electronics,11423.27,17,671.9570588235295
2022-01,Central Asia,Online,Fashion,13249.27,17,779.3688235294118
2022-01,Central Asia,Online,Food & Grocery,14862.84,22,675.5836363636364
2022-01,Central Asia,Online,Home & Garden,12422.14,17,730.7141176470587
2022-01,Central Asia,Online,Sports,8072.210000000001,13,620.9392307692308
2022-01,Europe,Call Center,Beauty,2397.0099999999998,4,599.2524999999999
2022-01,Europe,Call Center,Electronics,3960.71,4,990.1775
2022-01,Europe,Call Center,Fashion,4832.16,2,2416.08
2022-01,Europe,Call Center,Food & Grocery,5506.6,4,1376.65
2022-01,Europe,Call Center,Sports,2104.72,2,1052.36
2022-01,Europe,In-Store,Beauty,12888.01,17,758.1182352941177
2022-01,Europe,In-Store,Electronics,9289.53,13,714.5792307692308
2022-01,Europe,In-Store,Fashion,17570.29,20,878.5145
2022-01,Europe,In-Store,Food & Grocery,20867.7,21,993.7
2022-01,Europe,In-Store,Home & Garden,22492.4,23,977.9304347826088
2022-01,Europe,In-Store,Sports,13226.34,18,734.7966666666666
2022-01,Europe,Mobile App,Beauty,20373.0,24,848.875
2022-01,Europe,Mobile App,Electronics,20231.559999999998,21,963.4076190476189
2022-01,Europe,Mobile App,Fashion,13989.53,18,777.1961111111111
2022-01,Europe,Mobile App,Food & Grocery,21166.7,25,846.668
2022-01,Europe,Mobile App,Home & Garden,11127.41,16,695.463125
2022-01,Europe,Mobile App,Sports,26550.53,32,829.7040625
2022-01,Europe,Online,Beauty,15266.05,24,636.0854166666667
2022-01,Europe,Online,Electronics,30038.87,35,858.2534285714286
2022-01,Europe,Online,Fashion,37089.64,44,842.9463636363636
2022-01,Europe,Online,Food & Grocery,21695.43,28,774.8367857142857
2022-01,Europe,Online,Home & Garden,25344.95,32,792.0296875
2022-01,Europe,Online,Sports,29656.29,32,926.7590625
2022-01,MENA,Call Center,Beauty,1604.62,2,802.31
2022-01,MENA,Call Center,Electronics,2436.97,3,812.3233333333333
2022-01,MENA,Call Center,Food & Grocery,2423.61,2,1211.805
2022-01,MENA,Call Center,Home & Garden,1874.5099999999998,3,624.8366666666666
2022-01,MENA,In-Store,Beauty,13269.52,20,663.476
2022-01,MENA,In-Store,Electronics,23189.72,28,828.2042857142858
2022-01,MENA,In-Store,Fashion,7463.09,11,678.4627272727273
2022-01,MENA,In-Store,Food & Grocery,14955.18,12,1246.265
2022-01,MENA,In-Store,Home & Garden,17651.91,23,767.474347826087
2022-01,MENA,In-Store,Sports,5278.71,12,439.8925
2022-01,MENA,Mobile App,Beauty,7325.92,12,610.4933333333333
2022-01,MENA,Mobile App,Electronics,12491.12,17,734.7717647058824
2022-01,MENA,Mobile App,Fashion,11123.4,20,556.17
2022-01,MENA,Mobile App,Food & Grocery,17795.59,19,936.61
2022-01,MENA,Mobile App,Home & Garden,13194.99,16,824.686875
2022-01,MENA,Mobile App,Sports,9088.34,12,757.3616666666667
2022-01,MENA,Online,Beauty,7397.53,14,528.395
2022-01,MENA,Online,Electronics,14215.47,17,836.2041176470588
2022-01,MENA,Online,Fashion,21418.64,27,793.282962962963
2022-01,MENA,Online,Food & Grocery,19591.350000000002,24,816.3062500000001
2022-01,MENA,Online,Home & Garden,26394.61,34,776.3120588235295
2022-01,MENA,Online,Sports,17855.58,25,714.2232
2022-01,North America,Call Center,Beauty,4296.93,6,716.1550000000001
2022-01,North America,Call Center,Electronics,4481.719999999999,4,1120.4299999999998
2022-01,North America,Call Center,Fashion,535.71,1,535.71
2022-01,North America,Call Center,Food & Grocery,2814.7400000000002,4,703.6850000000001
2022-01,North America,Call Center,Home & Garden,3106.38,2,1553.19
2022-01,North America,Call Center,Sports,3854.12,6,642.3533333333334
2022-01,North America,In-Store,Beauty,16552.41,24,689.68375
2022-01,North America,In-Store,Electronics,31242.32,36,867.8422222222222
2022-01,North America,In-Store,Fashion,25634.56,32,801.08
2022-01,North America,In-Store,Food & Grocery,20080.36,25,803.2144000000001
2022-01,North America,In-Store,Home & Garden,34465.52,36,957.3755555555555
2022-01,North America,In-Store,Sports,25605.13,33,775.9130303030304
2022-01,North America,Mobile App,Beauty,28801.86,30,960.062
2022-01,North America,Mobile App,Electronics,19102.79,25,764.1116000000001
2022-01,North America,Mobile App,Fashion,16547.62,27,612.8748148148147
2022-01,North America,Mobile App,Food & Grocery,30407.14,31,980.8754838709677
2022-01,North America,Mobile App,Home & Garden,40736.57,41,993.5748780487805
2022-01,North America,Mobile App,Sports,14880.84,28,531.4585714285714
2022-01,North America,Online,Beauty,56644.42,50,1132.8884
2022-01,North America,Online,Electronics,30214.6,42,719.395238095238
2022-01,North America,Online,Fashion,25427.36,32,794.605
2022-01,North America,Online,Food & Grocery,35167.05,45,781.49
2022-01,North America,Online,Home & Garden,33693.62,44,765.764090909091
2022-01,North America,Online,Sports,42596.06,60,709.9343333333333
2022-01,Southeast Asia,Call Center,Beauty,730.0,2,365.0
2022-01,Southeast Asia,Call Center,Electronics,5085.65,6,847.6083333333332
2022-01,Southeast Asia,Call Center,Fashion,854.8900000000001,5,170.978
2022-01,Southeast Asia,Call Center,Food & Grocery,820.94,4,205.235
2022-01,Southeast Asia,Call Center,Sports,1387.2,2,693.6
2022-01,Southeast Asia,In-Store,Beauty,11825.55,14,844.6821428571428
2022-01,Southeast Asia,In-Store,Electronics,13187.48,16,824.2175
2022-01,Southeast Asia,In-Store,Fashion,8829.56,11,802.6872727272727
2022-01,Southeast Asia,In-Store,Food & Grocery,6419.16,14,458.51142857142855
2022-01,Southeast Asia,In-Store,Home & Garden,13957.2,17,821.0117647058823
2022-01,Southeast Asia,In-Store,Sports,5734.280000000001,11,521.2981818181819
2022-01,Southeast Asia,Mobile App,Beauty,9767.2,19,514.0631578947368
2022-01,Southeast Asia,Mobile App,Electronics,5322.98,15,354.8653333333333
2022-01,Southeast Asia,Mobile App,Fashion,10034.51,7,1433.5014285714285
2022-01,Southeast Asia,Mobile App,Food & Grocery,14076.51,14,1005.465
2022-01,Southeast Asia,Mobile App,Home & Garden,13713.23,14,979.5164285714285
2022-01,Southeast Asia,Mobile App,Sports,14096.09,18,783.1161111111111
2022-01,Southeast Asia,Online,Beauty,17509.17,21,833.7699999999999
2022-01,Southeast Asia,Online,Electronics,10890.35,22,495.01590909090913
2022-01,Southeast Asia,Online,Fashion,10647.15,14,760.5107142857142
2022-01,Southeast Asia,Online,Food & Grocery,21889.42,31,706.1103225806451
2022-01,Southeast Asia,Online,Home & Garden,14078.57,20,703.9285
2022-01,Southeast Asia,Online,Sports,8912.41,17,524.2594117647059
2022-02,Central Asia,Call Center,Beauty,4040.9,3,1346.9666666666667
2022-02,Central Asia,Call Center,Electronics,4232.26,5,846.452
2022-02,Central Asia,Call Center,Fashion,1795.44,4,448.86
2022-02,Central Asia,Call Center,Food & Grocery,2815.0899999999997,4,703.7724999999999
2022-02,Central Asia,Call Center,Home & Garden,919.9200000000001,2,459.96000000000004
2022-02,Central Asia,In-Store,Beauty,14124.18,16,882.76125
2022-02,Central Asia,In-Store,Electronics,6549.24,9,727.6933333333333
2022-02,Central Asia,In-Store,Fashion,9211.26,17,541.8388235294118
2022-02,Central Asia,In-Store,Food & Grocery,4929.82,7,704.26
2022-02,Central Asia,In-Store,Home & Garden,14249.19,14,1017.7992857142857
2022-02,Central Asia,In-Store,Sports,6566.67,10,656.667
2022-02,Central Asia,Mobile App,Beauty,13280.99,13,1021.6146153846154
2022-02,Central Asia,Mobile App,Electronics,10202.27,13,784.7900000000001
2022-02,Central Asia,Mobile App,Fashion,9932.51,11,902.9554545454546
2022-02,Central Asia,Mobile App,Food & Grocery,2437.06,6,406.1766666666667
2022-02,Central Asia,Mobile App,Home & Garden,6854.54,6,1142.4233333333334
2022-02,Central Asia,Mobile App,Sports,11074.21,13,851.8623076923076
2022-02,Central Asia,Online,Beauty,10281.64,16,642.6025
2022-02,Central Asia,Online,Electronics,10855.33,14,775.3807142857142
2022-02,Central Asia,Online,Fashion,7167.66,17,421.6270588235294
2022-02,Central Asia,Online,Food & Grocery,12243.25,15,816.2166666666667
2022-02,Central Asia,Online,Home & Garden,10437.62,14,745.5442857142858
2022-02,Central Asia,Online,Sports,12009.68,11,1091.7890909090909
2022-02,Europe,Call Center,Beauty,3618.05,2,1809.025
2022-02,Europe,Call Center,Electronics,1720.3300000000002,4,430.08250000000004
2022-02,Europe,Call Center,Fashion,865.9100000000001,2,432.95500000000004
2022-02,Europe,Call Center,Food & Grocery,1707.39,2,853.695
2022-02,Europe,Call Center,Home & Garden,4293.389999999999,4,1073.3474999999999
2022-02,Europe,Call Center,Sports,630.35,3,210.11666666666667
2022-02,Europe,In-Store,Beauty,22827.59,26,877.9842307692307
2022-02,Europe,In-Store,Electronics,15563.16,26,598.5830769230769
2022-02,Europe,In-Store,Fashion,12782.94,16,798.93375
2022-02,Europe,In-Store,Food & Grocery,18638.99,29,642.7237931034483
2022-02,Europe,In-Store,Home & Garden,3593.73,6,598.955
2022-02,Europe,In-Store,Sports,16472.77,24,686.3654166666666
2022-02,Europe,Mobile App,Beauty,17528.52,22,796.7509090909091
2022-02,Europe,Mobile App,Electronics,14717.12,18,817.6177777777779
2022-02,Europe,Mobile App,Fashion,29358.579999999998,29,1012.3648275862068
2022-02,Europe,Mobile App,Food & Grocery,20333.97,19,1070.2089473684211
2022-02,Europe,Mobile App,Home & Garden,13344.39,24,556.01625
2022-02,Europe,Mobile App,Sports,28890.07,25,1155.6028
2022-02,Europe,Online,Beauty,25781.05,22,1171.865909090909
2022-02,Europe,Online,Electronics,27568.95,33,835.4227272727273
2022-02,Europe,Online,Fashion,21856.56,28,780.5914285714287
2022-02,Europe,Online,Food & Grocery,20776.48,20,1038.824
