customer_id,recency,frequency,monetary,R,F,M,RFM_Score,RFM_Total,Segment,region,age,gender,segment,CLV,Churn_Probability
GM00001,97,16,6947.4400000000005,3,4,4,344,11,Potential Loyalists,MENA,68,F,Standard,4876.7,0.0018593764825962603
GM00002,224,3,1139.71,1,1,2,112,4,Lost,Southeast Asia,57,M,Standard,753.53,0.9852296532896095
GM00003,180,17,7262.89,2,4,4,244,10,At Risk,North America,24,F,Standard,4965.24,0.6019268943377178
GM00004,153,8,6020.04,2,3,4,234,9,Potential Loyalists,North America,49,F,Standard,4045.69,0.14983431202312933
GM00005,93,7,782.27,3,2,2,322,7,Potential Loyalists,Europe,65,F,Budget,547.28,0.0016726809104051531
GM00006,497,2,38.89,1,1,1,111,3,Lost,Europe,36,F,Budget,25.71,0.9999999999976428
GM00007,32,12,4310.47,4,3,3,433,10,Loyal Customers,Central Asia,23,M,Standard,2949.8,1.1304577505553548e-05
GM00008,299,5,915.0799999999999,1,2,2,122,5,Potential Loyalists,Southeast Asia,37,M,Budget,631.22,0.9999684125496
GM00009,81,17,20316.670000000002,3,4,5,345,12,Potential Loyalists,North America,44,F,Premium,13961.81,0.0005715422687655904
GM00010,31,31,43354.83,5,5,5,555,15,Champions,North America,70,M,Premium,29553.76,1.5990583778075313e-05
GM00011,158,3,498.64,2,1,1,211,4,Potential Loyalists,Central Asia,60,M,Budget,332.68,0.28891059656900087
GM00012,54,8,6242.49,4,3,4,434,11,Loyal Customers,Southeast Asia,54,M,Premium,3995.71,6.010669754159421e-05
GM00013,23,32,45600.55,5,5,5,555,15,Champions,North America,65,F,Premium,30830.41,8.258987069263049e-06
GM00014,112,18,5778.24,2,4,4,244,10,At Risk,Europe,24,M,Standard,3934.17,0.006029039200327147
GM00015,77,13,6399.13,3,4,4,344,11,Potential Loyalists,Europe,22,M,Standard,4311.35,0.0005053054992008374
GM00016,76,19,10445.960000000001,3,5,5,355,13,Champions,Europe,28,M,Standard,7091.95,0.0003325308583339862
GM00017,25,6,1539.4,5,2,2,522,9,Recent Customers,Europe,32,M,Standard,1070.82,6.216096578687912e-06
GM00018,36,15,7379.77,4,4,4,444,12,Loyal Customers,MENA,20,F,Standard,4989.96,1.2733206824476889e-05
GM00019,13,12,6093.530000000001,5,3,4,534,12,Loyal Customers,MENA,22,Other,Standard,3959.45,2.325979247581093e-06
GM00020,459,1,314.28,1,1,1,111,3,Lost,Europe,40,F,Budget,207.79,0.9999999999432201
GM00021,193,3,130.06,2,1,1,211,4,Potential Loyalists,North America,70,M,Budget,85.99,0.8833283002638621
GM00022,91,18,5054.17,3,4,3,343,10,Potential Loyalists,Europe,54,F,Standard,3497.1,0.0010406805909578532
