touchpoint_id,customer_id,region,touchpoint_date,touchpoint_type,channel,journey_stage,session_duration_min,converted,campaign
TP00000001,GM00001,MENA,2023-05-31,Social Media,Online,Purchase,3.1,0,Organic
TP00000002,GM00001,MENA,2023-02-03,Store Visit,In-Store,Awareness,1.2,0,Loyalty Push
TP00000003,GM00001,MENA,2023-07-13,Search,Online,Consideration,3.0,0,Referral
TP00000004,GM00001,MENA,2023-05-02,Email Open,Online,Advocacy,11.8,0,Organic
TP00000005,GM00001,MENA,2022-04-28,Store Visit,Online,Retention,2.5,0,Organic
TP00000006,GM00001,MENA,2024-04-27,App Session,In-Store,Purchase,0.9,1,Black Friday
TP00000007,GM00002,Southeast Asia,2023-04-12,Support Call,In-Store,Awareness,2.6,0,Organic
TP00000008,GM00002,Southeast Asia,2022-11-01,Support Call,Online,Awareness,3.0,0,Organic
TP00000009,GM00002,Southeast Asia,2023-05-31,Email Open,Mobile App,Awareness,2.5,0,Loyalty Push
TP00000010,GM00002,Southeast Asia,2022-07-11,App Session,Mobile App,Advocacy,6.2,0,Organic
TP00000011,GM00002,Southeast Asia,2022-10-25,App Session,Mobile App,Consideration,0.4,0,Back to School
TP00000012,GM00002,Southeast Asia,2024-01-31,App Session,Mobile App,Purchase,0.3,0,Back to School
TP00000013,GM00003,North America,2023-02-21,Ad Click,Online,Purchase,4.1,0,Spring Sale
TP00000014,GM00003,North America,2024-03-04,Store Visit,Online,Retention,2.9,0,Referral
TP00000015,GM00003,North America,2023-06-11,Website Visit,Mobile App,Consideration,14.2,0,Black Friday
TP00000016,GM00003,North America,2023-11-27,Ad Click,In-Store,Awareness,5.6,0,Referral
TP00000017,GM00003,North America,2024-02-12,Email Open,Online,Awareness,2.0,0,Organic
TP00000018,GM00003,North America,2023-12-24,Search,Online,Consideration,3.5,0,Organic
TP00000019,GM00003,North America,2023-11-02,Website Visit,Mobile App,Awareness,0.1,0,Loyalty Push
TP00000020,GM00003,North America,2024-05-17,Search,In-Store,Advocacy,7.3,0,Black Friday
TP00000021,GM00003,North America,2024-04-23,App Session,Call Center,Retention,7.9,0,Organic
TP00000022,GM00003,North America,2023-08-01,Social Media,Mobile App,Advocacy,2.3,0,Organic
TP00000023,GM00003,North America,2022-09-19,Social Media,Mobile App,Purchase,4.9,1,Referral
TP00000024,GM00003,North America,2023-10-12,Social Media,Call Center,Consideration,26.4,0,Referral
TP00000025,GM00004,North America,2022-10-21,Website Visit,Mobile App,Purchase,32.7,1,Loyalty Push
TP00000026,GM00004,North America,2023-06-07,Social Media,Mobile App,Retention,14.8,0,Referral
TP00000027,GM00004,North America,2023-09-12,Social Media,Online,Purchase,0.9,0,Referral
TP00000028,GM00004,North America,2023-07-28,Ad Click,Mobile App,Advocacy,2.7,1,Referral
TP00000029,GM00004,North America,2023-01-25,App Session,Online,Awareness,8.1,0,Loyalty Push
TP00000030,GM00004,North America,2022-10-02,Support Call,Online,Retention,3.9,0,Black Friday
TP00000031,GM00004,North America,2023-12-22,Email Open,In-Store,Purchase,29.6,0,Organic
TP00000032,GM00004,North America,2023-06-23,Support Call,Online,Retention,3.5,0,Spring Sale
TP00000033,GM00004,North America,2022-11-05,Search,In-Store,Consideration,13.5,0,Referral
TP00000034,GM00004,North America,2022-09-30,Social Media,Online,Consideration,0.4,0,Organic
TP00000035,GM00004,North America,2022-05-10,Support Call,In-Store,Retention,4.2,0,Organic
TP00000036,GM00004,North America,2024-01-30,Support Call,Online,Retention,20.6,0,Organic
TP00000037,GM00005,Europe,2023-04-23,App Session,Mobile App,Purchase,13.0,0,Black Friday
TP00000038,GM00005,Europe,2022-08-12,Search,Online,Purchase,2.3,0,Loyalty Push
TP00000039,GM00005,Europe,2022-12-07,Website Visit,Mobile App,Consideration,7.1,0,Black Friday
TP00000040,GM00005,Europe,2024-05-20,Website Visit,Online,Consideration,3.2,0,Referral
TP00000041,GM00005,Europe,2023-04-16,App Session,Call Center,Consideration,1.4,0,Spring Sale
TP00000042,GM00005,Europe,2022-05-09,Support Call,Mobile App,Awareness,0.7,0,Loyalty Push
TP00000043,GM00005,Europe,2023-06-30,Website Visit,Online,Advocacy,5.9,0,Loyalty Push
TP00000044,GM00006,Europe,2023-06-07,Website Visit,Mobile App,Consideration,13.1,0,Black Friday
TP00000045,GM00006,Europe,2024-03-14,Email Open,Online,Purchase,10.8,0,Loyalty Push
TP00000046,GM00006,Europe,2024-03-24,Website Visit,Mobile App,Consideration,13.5,0,Organic
TP00000047,GM00006,Europe,2023-09-23,Email Open,Online,Consideration,13.3,0,Referral
TP00000048,GM00006,Europe,2022-10-11,Store Visit,Mobile App,Awareness,1.7,0,Loyalty Push
TP00000049,GM00006,Europe,2024-01-19,Search,Mobile App,Retention,1.4,0,Organic
TP00000050,GM00006,Europe,2023-07-21,Search,In-Store,Awareness,17.3,0,Back to School
TP00000051,GM00006,Europe,2023-12-27,Email Open,Call Center,Consideration,6.3,0,Black Friday
TP00000052,GM00006,Europe,2022-08-01,Search,Online,Awareness,15.0,0,Spring Sale
TP00000053,GM00006,Europe,2023-12-08,Ad Click,Mobile App,Consideration,1.9,0,Black Friday
TP00000054,GM00006,Europe,2023-10-14,Ad Click,In-Store,Consideration,7.2,0,Loyalty Push
TP00000055,GM00006,Europe,2022-06-13,Social Media,In-Store,Advocacy,0.5,0,Back to School
TP00000056,GM00006,Europe,2023-02-03,Support Call,Online,Advocacy,46.3,0,Organic
TP00000057,GM00007,Central Asia,2023-02-26,App Session,In-Store,Advocacy,0.1,0,Organic
TP00000058,GM00007,Central Asia,2022-01-25,Ad Click,In-Store,Purchase,10.3,0,Spring Sale
TP00000059,GM00007,Central Asia,2024-04-05,Email Open,Mobile App,Awareness,1.9,0,Spring Sale
TP00000060,GM00007,Central Asia,2023-01-11,Email Open,In-Store,Awareness,18.6,0,Organic
TP00000061,GM00007,Central Asia,2022-05-01,Store Visit,In-Store,Retention,5.4,0,Organic
TP00000062,GM00008,Southeast Asia,2023-06-01,Website Visit,In-Store,Consideration,9.7,0,Loyalty Push
TP00000063,GM00008,Southeast Asia,2023-10-27,Ad Click,Mobile App,Awareness,0.5,0,Organic
TP00000064,GM00008,Southeast Asia,2022-11-17,Support Call,Online,Purchase,0.3,0,Black Friday
TP00000065,GM00009,North America,2023-06-13,Social Media,Call Center,Awareness,5.0,0,Loyalty Push
TP00000066,GM00009,North America,2023-08-27,Social Media,In-Store,Consideration,5.3,1,Referral
TP00000067,GM00010,North America,2022-12-25,Email Open,Mobile App,Purchase,0.4,0,Spring Sale
TP00000068,GM00010,North America,2022-07-12,App Session,Mobile App,Advocacy,20.9,0,Organic
TP00000069,GM00010,North America,2022-03-08,Email Open,Online,Awareness,3.1,0,Spring Sale
TP00000070,GM00010,North America,2022-01-02,Search,Online,Consideration,1.0,0,Black Friday
TP00000071,GM00011,Central Asia,2022-12-09,Store Visit,Online,Awareness,2.8,1,Spring Sale
TP00000072,GM00011,Central Asia,2022-09-10,Website Visit,Mobile App,Consideration,6.8,0,Organic
TP00000073,GM00011,Central Asia,2023-11-07,Support Call,Mobile App,Retention,7.6,0,Loyalty Push
TP00000074,GM00011,Central Asia,2023-06-15,Store Visit,Mobile App,Consideration,23.8,0,Referral
TP00000075,GM00011,Central Asia,2022-08-20,Website Visit,In-Store,Awareness,4.3,0,Organic
TP00000076,GM00011,Central Asia,2023-12-01,Support Call,In-Store,Purchase,10.1,0,Organic
TP00000077,GM00011,Central Asia,2022-10-07,Search,In-Store,Retention,7.2,1,Organic
TP00000078,GM00012,Southeast Asia,2022-05-30,Website Visit,Mobile App,Consideration,2.3,0,Black Friday
TP00000079,GM00012,Southeast Asia,2024-05-12,Support Call,Mobile App,Retention,6.9,0,Spring Sale
TP00000080,GM00012,Southeast Asia,2023-10-13,App Session,Online,Consideration,20.0,0,Loyalty Push
TP00000081,GM00012,Southeast Asia,2023-04-10,Store Visit,Online,Consideration,4.9,0,Organic
TP00000082,GM00012,Southeast Asia,2022-08-19,Ad Click,Mobile App,Consideration,1.6,0,Spring Sale
TP00000083,GM00013,North America,2024-05-30,Website Visit,Mobile App,Consideration,0.8,0,Spring Sale
TP00000084,GM00013,North America,2024-01-15,Website Visit,Mobile App,Consideration,12.5,0,Black Friday
TP00000085,GM00013,North America,2024-05-27,App Session,Online,Awareness,2.2,0,Organic
TP00000086,GM00013,North America,2022-12-12,Website Visit,Online,Consideration,15.8,0,Black Friday
TP00000087,GM00014,Europe,2022-12-14,Store Visit,In-Store,Purchase,3.4,0,Organic
TP00000088,GM00014,Europe,2022-07-26,App Session,Online,Purchase,3.1,1,Spring Sale
TP00000089,GM00014,Europe,2024-02-02,Social Media,Mobile App,Advocacy,3.0,0,Black Friday
TP00000090,GM00015,Europe,2022-12-11,Ad Click,In-Store,Retention,0.8,0,Black Friday
TP00000091,GM00015,Europe,2023-01-01,Social Media,In-Store,Awareness,0.1,0,Black Friday
TP00000092,GM00015,Europe,2023-11-27,Social Media,Mobile App,Retention,7.6,0,Referral
TP00000093,GM00015,Europe,2023-12-06,Store Visit,In-Store,Purchase,18.6,0,Black Friday
TP00000094,GM00015,Europe,2024-02-27,App Session,Online,Consideration,2.3,0,Referral
TP00000095,GM00015,Europe,2022-10-20,Support Call,Mobile App,Awareness,3.7,0,Referral
TP00000096,GM00015,Europe,2022-08-15,Ad Click,Mobile App,Advocacy,0.7,0,Black Friday
TP00000097,GM00015,Europe,2023-02-18,Support Call,Mobile App,Awareness,0.8,0,Organic
