transaction_id,customer_id,region,city,channel,category,order_date,quantity,unit_price,revenue,discount_pct,is_returned,payment_delayed
TXN0000001,GM00001,MENA,Dubai,In-Store,Sports,2022-04-16,3,224.48,673.44,0,0,0
TXN0000002,GM00001,MENA,Dubai,In-Store,Electronics,2023-01-13,2,166.13,332.25,10,0,0
TXN0000003,GM00001,MENA,Dubai,Mobile App,Home & Garden,2023-10-04,1,128.89,128.89,0,0,1
TXN0000004,GM00001,MENA,Dubai,Mobile App,Fashion,2022-10-08,4,165.77,663.07,0,1,0
TXN0000005,GM00001,MENA,Dubai,Mobile App,Fashion,2022-01-25,3,142.23,426.7,0,0,0
TXN0000006,GM00001,MENA,Dubai,In-Store,Fashion,2023-11-09,4,168.78,675.12,0,0,0
TXN0000007,GM00001,MENA,Dubai,In-Store,Sports,2024-03-26,1,255.5,255.5,0,0,0
TXN0000008,GM00001,MENA,Dubai,In-Store,Electronics,2023-07-09,3,272.41,817.23,10,0,0
TXN0000009,GM00001,MENA,Dubai,Mobile App,Beauty,2022-11-26,4,272.98,1091.92,0,0,0
TXN0000010,GM00001,MENA,Dubai,Call Center,Electronics,2023-09-13,2,40.93,81.85,0,0,0
TXN0000011,GM00001,MENA,Dubai,Online,Sports,2022-05-15,1,98.38,98.38,10,0,0
TXN0000012,GM00001,MENA,Dubai,Mobile App,Sports,2023-06-17,1,138.67,138.67,0,0,0
TXN0000013,GM00001,MENA,Dubai,Online,Sports,2022-08-21,3,147.99,443.97,0,0,0
TXN0000014,GM00001,MENA,Dubai,Online,Home & Garden,2022-10-21,4,122.78,491.13,0,0,0
TXN0000015,GM00001,MENA,Dubai,Online,Food & Grocery,2022-08-18,1,128.09,128.09,0,0,0
TXN0000016,GM00001,MENA,Dubai,Online,Sports,2022-08-16,5,232.86,1164.3,10,0,0
TXN0000017,GM00002,Southeast Asia,Singapore,Call Center,Electronics,2023-11-01,2,264.43,528.87,20,0,0
TXN0000018,GM00002,Southeast Asia,Singapore,Mobile App,Food & Grocery,2023-10-24,2,243.15,486.31,0,0,0
